いる		(Une personne) est à ...; reste à ...	1	4	Ru-Vb	endroitにpersonneが
～ぐらい		Environ (mesure approximative)	1	4		
ごめんなさい		Je suis désolé.	1	4	Exp	
それから		Puis	1	4		
だから		Donc ; par conséquent	1	4		
たくさん		Beaucoup; un grand nombre	1	4	Adv	
～と		Avec (quelqu'un) ; et	1	4		
どうして		Pourquoi	1	4		
一人で	ひとりで	Seul	1	4		
もしもし		Allô ?	1	4	Exp	
右	みぎ	Droite	1	4	Loc	～の
左	ひだり	Gauche	1	4	Loc	～の
前	まえ	Devant	1	4	Loc	～の
後ろ	うしろ	Derrière	1	4	Loc	～の
中	なか	Dedans	1	4	Loc	～の
上	うえ	Dessus	1	4	Loc	～の
下	した	Dessous	1	4	Loc	～の
近く	ちかく	Près; à proximité	1	4	Loc	～の
隣	となり	À côté	1	4	Loc	～の
間	あいだ	Entre	1	4	Loc	AとBの
一月	いちがつ	Janvier	1	4	Nom	
二月	にがつ	Février	1	4	Nom	
三月	さんがつ	Mars	1	4	Nom	
四月	しがつ	Avril	1	4	Nom	
五月	ごがつ	Mai	1	4	Nom	
六月	ろくがつ	Juin	1	4	Nom	
七月	しちがつ	Juillet	1	4	Nom	
八月	はちがつ	Août	1	4	Nom	
九月	くがつ	Septembre	1	4	Nom	
十月	じゅうがつ	Octobre	1	4	Nom	
十一月	じゅういちがつ	Novembre	1	4	Nom	
十二月	じゅうにがつ	Décembre	1	4	Nom	
おととい		Avant-hier	1	4	Nom	
二週間前	にしゅうかんまえ	Il y a deux semaines	1	4	Nom	
二か月前	にかげつまえ	Il y a deux mois	1	4	Nom	
おととし		Il y a deux ans	1	4	Nom	
先月	せんげつ	Le mois dernier	1	4	Nom	
去年	きょねん	L'année dernière	1	4	Nom	
今週	こんしゅう	Cette semaine	1	4	Nom	
今月	こんげつ	Ce mois-ci	1	4	Nom	
今年	ことし	Cette année	1	4	Nom	
来週	らいしゅう	La semaine prochaine	1	4	Nom	
来月	らいげつ	Le mois prochain	1	4	Nom	
来年	らいねん	L'année prochaine	1	4	Nom	
あさって		Après-demain	1	4	Nom	
再来週	さらいしゅう	Dans deux semaines	1	4	Nom	
