四字熟語	読み	意味	級	ページ	類義語	対義語	別の読み	参考	補説	優先
心満意足	しんまんいそく	きわめて満ち足りた気分になること。	5	274	欲求不満					
水月鏡花	すいげつきょうか	-	5	277	-	-	-	鏡花水月		-
水清無魚	すいせいむぎょ	人になつかれないたとえ。	5	278	清濁併呑					
頭寒足熱	ずかんそくねつ	頭を冷やし足をあたためること。また、その状態。健康によいとされる。	5	280	頭寒足暖					
寸鉄殺人	すんてつさつじん	短い警句で人の急所を批判するたとえ。	5	280	頂門一針					
寸田尺宅	すんでんしゃくたく	ほんのわずかな財産のこと	5	280	寸土尺地					
寸馬豆人	すんばとうじん	遠くの人馬が小さく見えること。	5	281						
晴雲秋月	せいうんしゅうげつ	純真でけがれのない心のたとえ。	5	281	虚心坦懐、光風霽月、明鏡止水					
生寄死帰	せいきしき	人が生きているのは、仮にこの世に身を寄せているだけで、死は自分の住居に帰るように、本来のところに落ちつくことだということ。,	5	282						
精金良玉	せいきんりょうぎょく	性格が穏やかで純粋なこと。	5	282						
晴耕雨読	せいこううどく	田園で悠々自適の生活をすること。	5	282	昼耕夜誦					
生死肉骨	せいしにくこつ	落ち目の者を救いあげること。	5	283						
青松落色	せいしょうらくしょく	交友が途絶えそうになることのだとえ。	5	284						
聖人君子	せいじんくんし	知識・人格ともにすぐれた立派な人物。	5	284	聖人賢者					-
誠心誠意	せいしんせいい	純粋なまごころ。	5	284						-
精神統一	せいしんとういつ	心のはたらきを一点に集中すること。	5	284	精神一到					-
聖人無夢	せいじんむむ	徳を身につけた聖人は、けっして憂いや雑念を持たないので、夢を見ることはない。	5	284						
正々堂々	せいせいどうどう	手段や態度が正しくて立派なこと。また、陣容が整って意気盛んなこと。	5	285	公明正大					-
生知安行	せいちあんこう	生まれながらにして人のふみ行うべき道を熟知し、心安んじてそれを行うこと。	5	286	良知良能					
青天白日	せいてんはくじつ	晴れわたった青空と日の光で快晴の意から転じて、心にやましいことがまったくないことのたとえ。	5	286						-
正当防衛	せいとうぼうえい	不当な暴行から身を守る権利。	5	286	緊急防衛、正当防御	過剰防衛				-
清風故人	せいふうこじん	秋になってさわやかな風が吹いてくるのは、久しぶりに友人が訪ねてくれたようだということ。	5	287						
清風明月	せいふうめいげつ	夜の静かで清らかなたたずまいの形容。清らかな美しい自然の形容。また、風雅な遊びのこと。	5	287	清風朗月					
精明強幹	せいめいきょうかん	物事によく通じていて、仕事を処理する能力が高いこと。	5	287						
石心鉄腸	せきしんてっちょう	-	5	289	-	-	-	鉄腸石心		
雪月風花	せつげつふうか	四季折々の自然の美しい景観のこと。	5	291	花鳥風月、春花秋月					-
接見応対	せっけんおうたい	対面して受け答えすること。	5	292						
絶世独立	ぜっせいどくりつ	美人の形容。	5	293						
絶体絶命	ぜったいぜつめい	せっぱつまってどうにも逃れられない状態。	5	293	風前之灯、窮途末路					-
切問近思	せつもんきんし	すべての事を身近な問題として切実に取りあげ、自分のこととして考えること。	5	294						
世道人心	せどうじんしん	世の中の道徳とそれを守る人の心のこと。	5	294						
善因善果	ぜんいんぜんか	善い行いには善い果報があるということ。	5	294	積善余慶、因果応報	悪因悪果				
先義後利	せんぎこうり	まず道理を第一に考えて、利益は二の次にすること。	5	295						
千金一刻	せんきんいっこく	-	5	296	-	-	-	一刻千金		-
千古不易	せんこふえき	永久に変わらないこと。	5	297	千古不変、千古不抜、千載不易、万古不易、万世不易					
前後不覚	ぜんごふかく	正体がなくなること。	5	297	人事不省					-
専心一意	せんしんいちい	-	5	300	-	-	-	一意専心		-
全生全帰	ぜんせいぜんき	親からもらった体を傷つけることなく生を全うするのが、真の親孝行だということ。	5	300						
先聖先師	せんせいせんし	孔子の尊称。	5	301						
先知先覚	せんちせんがく	一般の人より先に道理を知りさとること。またその人。また、学問や人格、見識などがすぐれている人。	5	302						
全知全能	ぜんちぜんのう	神の能力。	5	302	完全無欠					-
先手必勝	せんてひっしょう	相手より先に攻撃すれば必ず勝つ。	5	302	先制攻撃					-
千万無量	せんまんむりょう	はかり知れないほど多いこと。	5	304						
千里同風	せんりどうふう	-	5	304	-	-	-	万里同風		
千里結言	せんりのけつげん	遠方の友と約束した言葉。	5	304						
創業守成	そうぎょうしゅせい	新しい事業を始めるのはやさしくその成果を守り維持してゆくのは難しい。	5	306	創業守文					
草根木皮	そうこんぼくひ	漢方薬の原料のこと。	5	307						
相思相愛	そうしそうあい	男女が互いに慕い合い愛し合っていること。	5	307						-
走馬看花	そうばかんか	物事を大ざっぱに見て、その本質を窮めようとしないこと。	5	310						
