四字熟語	読み	意味	級	ページ	類義語	対義語	別の読み	参考	補説	優先
悪衣悪食	あくいあくしょく	質素で粗末な衣服や食物。	4	62	粗衣粗食、節衣縮食、粗衣糲食		あくいあくじき			
悪因悪果	あくいんあっか	悪い行いには必ず悪い報いがあるということ。	5	62		善因善果				
悪逆無道	あくぎゃくむどう	人としての道にはずれた悪い行い。	5	62	悪逆非道、極悪非道、大逆無道		あくぎゃくぶとう、あくぎゃくぶどう			
悪事千里	あくじせんり	悪いことは評判になりやすいというたとえ。	5	62						
悪人正機	あくにんしょうき	阿弥陀仏の本願は悪人を救うことにあるとする説。	5	62						
悪口雑言	あっこうぞうごん	口に任せて様々に悪口を言うこと。また、その言葉。	5	63	罵詈雑言、悪口罵詈、罵詈讒謗、讒謗罵詈					
安居危思	あんきょきし	平穏無事なときにも、万一の場合を考えて常に用心を怠らないことが重要であるということ。	5	65						
安居楽業	あんきょらくぎょう	置かれた状況などに心安らかに甘んじ、自分の仕事を楽しんですること。	5	65	安家楽業、安土楽業					
安心立命	あんじんりつめい	心を安らかに保って運命に身をまかせ、いかなる場合でも動揺しないこと。	5	66	安心決定		あんしんりつめい、あんじんりゅうめい、あんじんりゅうみょう			
暗送秋波	あんそうしゅうは	かげで機嫌とりをすること。	5	66						
安宅正路	あんたくせいろ	仁と義のたとえ。	5	66						
易往易行	いおういぎょう	たやすい修行で極楽往生できるという教え。	5	67	易往易修、易行易修	難行苦行				
意気投合	いきとうごう	たがいの気持ちや考えなどがぴったりと合うこと。	5	68	意気相投、情意投合					-
異曲同工	いきょくどうこう	-	5	69	-	-	-	同工異曲		
異口同音	いくどうおん	みんなが口をそろえて同じことを言うこと。	5	69	異口同辞、異人同辞、異口同声		いこうどうおん			-
意在言外	いざいげんがい	自分の思いを直接言葉で伸べないで、相手の推察にまかせること。また、思うことを直接書かないで、字間や行間に含ませること。	5	70	意味深長、美言大義					
医食同源	いしょくどうげん	日常の食事に注意することが、病気予防の最善の策であるということ。	5	71						
以心伝心	いしんでんしん	文字や言葉によらず心と心で通じ合うこと。	5	71	教外別伝、不立文字、維魔一黙					-
衣帯中賛	いたいちゅうのさん	南宋の忠臣の文天祥(ぶんてんしょう)が死に臨み衣帯の中に書き置いた賛辞。	5	71						
異体同心	いたいどうしん	体は別なものでも心は一つに固く結ばれていること。また、それほど関係が深いということ。	5	71	一心同体、寸歩不離					
衣帯不解	いたいふかい	-	5	71	-	-	-	不解衣帯		
一意専心	いちいせんしん	ひたすら一つのことに心を集中すること。	5	72	一心一意、全心全意、一心不乱、専心専意					
一衣帯水	いちいたいすい	非常に近しい関係のたとえ。	5	72	衣帯之水、衣帯一江					
一往一来	いちおういちらい	行ったり来たりすること。	5	72						
一牛鳴地	いちぎゅうめいち	きわめて距離の近いこと。	5	73	一牛吼地					
一言一行	いちげんいっこう	一つの言葉と一つの行い。	5	73	一挙一動					
一言半句	いちごんはんく	ほんの少しの短い言葉。	5	73	片言隻句、一言片句、片言隻辞、片言隻語、一言一句		いちげんはんく			
一字千金	いちじせんきん	筆跡や詩文の表現を尊重して言う語。	5	73	一字百金、一言千金、一字連城					
一日三秋	いちじつさんしゅう	一日会わなかっただけで三年も合わなかったような気がする。相手を思慕する情の深いこと。	5	74	一日千秋、一刻千秋		いちにちさんしゅう			
一日千秋	いちじつせんしゅう	大変待ち遠しいことのたとえ。	5	74	一日三秋、一刻千秋		いちにちせんしゅう			-
一字不説	いちじふせつ	仏法の真理は他から得るものではなく、自ら体得するものだということ。	5	74						
一上一下	いちじょういちげ	場面に応じて適切に対応するたとえ。	5	74						
一場春夢	いちじょうのしゅんむ	人生の栄華がきわめてはかないことのたとえ。	5	74	一炊之夢、邯鄲之夢、黄粱一炊、盧生之夢					
一時流行	いちじりゅうこう	俳諧で新しみを求め時とともに変化を重ねてゆくこと。	5	75		不易流行、千古不易、万古不易、百世不磨				
一新紀元	いちしんきげん	一つの新しい時代。	5	75						
一大決心	いちだいけっしん	非常に重大な決意。	5	75						-
一団和気	いちだんのわき	なごやかな雰囲気。親しみやすい態度をいう。	5	75	一堂和気					
一日不食	いちにちふしょく	毎日、仕事に従事してからでないと食事をとらないこと。	5	75						
一人当千	いちにんとうせん	非常に力の強いこと。また、知能がすぐれていること。	5	75	一騎当千					
一病息災	いちびょうそくさい	持病を一つぐらい持っているほうが、健康に気をつけてかえって長生きできるということ。	5	76	無病息災					
一部始終	いちぶしじゅう	はじめから終わりまで。はじめから終わりまでの詳しいいきさつすべて。	5	76	一伍一什					-
一別以来	いちべついらい	一度別れてからこのかた。	5	76						
一望千里	いちぼうせんり	非常に見晴らしのよいことのたとえ。	5	76	一望無垠、一望千頃					
一木一草	いちぼくいっそう	そこにあるすべてのもののこと。また、ほんのわずかなもののこと。	5	76						
一枚看板	いちまいかんばん	一座の中の代表的な役者。また、大勢の中の中心人物のこと。また、一着しかない衣服、人に見せられる唯一のもの。	5	76						
一味同心	いちみどうしん	同じ目的のために集まり心を一つにすること。また、その仲間。	5	77	一味徒党、一丘之貉					
一味徒党	いちみととう	同じ目的のために仲間となること。また、その仲間。	5	77	一味同心、一味郎党					
一目十行	いちもくじゅうぎょう	書物を読むことが速いことのたとえ。	5	77	十行倶下					
一問一答	いちもんいっとう	一つの問いに対して一つの答えをすること。	5	77						-
一文半銭	いちもんはんせん	ごくわずかな金額のたとえ。	5	77	一銭一厘		いちもんきなか			
一文不通	いちもんふつう	ひとつの文字も知らず、読み書きがまったくできないこと。	5	78	一文不知、一字不識					
一夜十起	いちやじっき	人間は、私情や私心に左右されること。	5	78						
一遊一予	いちゆういちよ	遊んだり楽しんだりする。天子が諸国を視察してまわること。昔	5	78						
一葉知秋	いちようちしゅう	わずかな兆しから、物事の衰亡や大勢を察知すること。	5	78	桐葉知秋、梧桐一葉					
一陽来復	いちようらいふく	物事が回復することのたとえ。	5	78						
一利一害	いちりいちがい	よいことがある一方、悪いこともあること。	5	78	一得一失、一長一短					
一路順風	いちろじゅんぷう	ものごとが順調に運ぶこと。	5	79	一路平安					
一路平安	いちろへいあん	旅立つ人の途中の無事を祈っていう語。	5	79						
一挙一動	いっきょいちどう	ひとつひとつの動作、ふるまい。ちょっとしたしぐさ。	5	81						-
一挙両失	いっきょりょうしつ	一つのことをするだけで同時に他の一つのことも失うこと。	5	81		一挙両得、一挙両全、一石二鳥				
一挙両得	いっきょりょうとく	一つのことをするだけで、同時に二つの利益が得られること。	5	81	一石二鳥、一挙両全、一箭双雕	一挙両失				-
一件落着	いっけんらくちゃく	ものごとが解決すること。	5	82						-
一刻千金	いっこくせんきん	時間の貴重なことのたとえ。	5	82						
一死七生	いっししちしょう	この世に生まれ変わる限りどこまでもということ。	5	83	七死七生					
一子相伝	いっしそうでん	学問・技芸などの奥義を直系の子供一人にのみ伝えて他人にはもらさないこと。	5	83	父子相伝					-
一視同仁	いっしどうじん	差別することなくすべての人を見て愛すること。	5	83	一視之仁、兼愛無私、怨親平等					
一紙半銭	いっしはんせん	一枚の紙と銭半銭。わずかなことのたとえ。また、軽少なもののたとえ。	5	84	一銭一厘、一文半銭					
一死報国	いっしほうこく	いのちをかけて国に奉公すること。	5	84	七生報国					
一宿一飯	いっしゅくいっぱん	通りすがりにちょっと世話になること。	5	84	一飯之恩、一飯之報					-
一進一退	いっしんいったい	進んだり退いたりすること。また、情勢がよくなったり悪くなったりすること。	5	85						-
一心一徳	いっしんいっとく	-	5	85	-	-	-	一徳一心		
一心同体	いっしんどうたい	複数の人間が心を一つにして一人の人間のように固く結びつくこと。	5	85	異体同心、寸歩不離					-
一心不乱	いっしんふらん	一つのことに心を集中して他のことに心を奪われないこと。	5	85	一意専心、一心一意					-
一世一代	いっせいちだい	一生のうちでただ一度。	5	86	一世一度					-
一石二鳥	いっせきにちょう	一つのことをして二つの利益を得るたとえ。	5	86	一挙両得、一箭双雕、一発双貫、一挙双擒					-
一体分身	いったいぶんしん	一つのものがいくつかに分かれること。	5	87						
一短一長	いったんいっちょう	-	5	87	-	-	-	一長一短		-
一治一乱	いっちいちらん	この世の治乱の変転を述べた語。	5	87	治乱興亡					
一知半解	いっちはんかい	自分のものになっていない、なまはんかな知識や理解のこと。	5	87	半知半解、言者不知					
一長一短	いっちょういったん	長所もあり短所もあり、完全でないこと。	5	87	一得一失、一利一害					-
一点一画	いってんいっかく	漢字の一つの点、一つの画。	5	88	一措一画					
一天四海	いってんしかい	天の下と四方の海。天下のすべて、世界中の意。	5	88						
一刀両断	いっとうりょうだん	物事を思い切って処理すること、ためらわずに決断することのたとえ。	5	88	一剣両段					-
一得一失	いっとくいっしつ	一方で利益があると他方で損失を伴っていること。	5	89	一利一害、一長一短					
一徳一心	いっとくいっしん	多くの人が、共通の利益のために心を一つにして団結すること。	5	89	同心同徳、一致団結					
一飯千金	いっぱんせんきん	わずかな恵みに対しても十分な恩返しをすること。	5	89	一飯之徳、一飯之報、一飯之恩、恩讎分明					
以毒制毒	いどくせいどく	悪を制するのに悪を用いることのたとえ。	5	90	以毒攻毒、以夷制夷、就毒攻毒					
意味深長	いみしんちょう	人の行動や言葉、詩文などの意味や趣が非常に深く含みがあること。	5	92	意在言外					-
異類中行	いるいちゅうぎょう	仏が人々を教うために、俗世に身を置くこと。また、禅僧が修行者を教えつくために、いろいろな方法を講じること。	5	92						
異路同帰	いろどうき	方法は違っても結果は同じであるたとえ。	5	93	殊塗同帰					
因果応報	いんがおうほう	人の行いの善悪に応じてその報いがあらわれること。	5	93	悪因悪果、善因善果、悪因苦果、前因後果					-
飲河満腹	いんかまんぷく	人にはそれぞれ分(ぶん)があり、分相応に満足すべきことをいう。	5	93	偃鼠飲河、飲河之願					
因機説法	いんきせっぽう	その場に応じた説法を行い真理を悟らせること。	5	93	応機接物、善巧方便、対症下薬、応病与薬					
因小失大	いんしょうしつだい	小さな利益を得ようとして、かえって大きな損失をすること。	5	94	貪小失大	枉尺直尋				
印象批評	いんしょうひひょう	芸術作品の理解・評価において客観的基準によらず、あくまでも作品の自分に与える印象や個人的感動に基準をおく批評。	5	94						
飲水思源	いんすいしげん	物事の基本を忘れないたとえ。また、世話になった人の恩を忘れないこと。	5	95	飲水知源、飲流懐源、	得魚忘筌				
右往左往	うおうさおう	多くの人がうろたえて右に行ったり左に行ったり混乱すること。	5	96	周章狼狽	泰然自若				-
雨過天晴	うかてんせい	物事の状況がよい方向へむかうこと。	5	96						
海千山千	うみせんやません	いろいろな経験を積んで、物事の裏も表も知りつくしていて悪賢いこと。	5	99	海千河千、千軍万馬、百戦錬磨					-
雲心月性	うんしんげっせい	名声や利益を求めることなく、超然としていること。	5	101	無欲恬淡					
永字八法	えいじはっぽう	「永」の一字に筆法のすべてが含まれているという書の教え。	5	103						
益者三友	えきしゃさんゆう	交わってためになる三種類の友人。	5	105		損者三友				
得手勝手	えてかって	わがまま放題のこと。	5	106	勝手気儘、傍若無人					
円首方足	えんしゅほうそく	-	5	107	-	-	-	円顱方趾		
遠水近火	えんすいきんか	遠くにあるものは急場の役には立たないということ。	5	108	遠水近渇					
円頂黒衣	えんちょうこくい	僧の姿のこと。	5	108	円頂緇衣					
円頭方足	えんとうほうそく	人間のこと。	5	108	円首方足、円顱方趾					
円満具足	えんまんぐそく	十分に満ち足りて不足がないこと。	5	110						-
延命息災	えんめいそくさい	命をのばして災いを取り去ること。	5	110	無病息災、無事息災					
応機接物	おうきせつもつ	相手に応じて適切に指導すること。	5	111	因機説法、善巧方便、対症下薬、因病下薬、応病与薬					
往古来今	おうこらいこん	昔から今にいたるまで。	5	112	古今東西					
王道楽土	おうどうらくど	公明正大で思いやりのある政治が行われている平和で楽しい国土。	5	113						
岡目八目	おかめはちもく	はたで見ているほうが、当事者よりも情勢を正確に判断できること。	5	114						-
温故知新	おんこちしん	前に習ったことや昔の事柄を復習し考えて新たな道理や知識を会得すること。	5	114						-
音信不通	おんしんふつう	便りや連絡がまったく絶えること。	5	115			いんしんふつう			-
解衣推食	かいいすいしょく	人に慈悲を施すこと。また、人を重用すること。	5	116						
改過自新	かいかじしん	自分の過ちを改めて、気分を新たにすること。	5	116	改過作新					
開巻有益	かいかんゆうえき	読書は大変ためになるものだということ。	5	117	開巻有得					
外交辞令	がいこうじれい	口先だけのお世辞や形だけのお愛想のこと。	5	117	社交辞令					
下意上達	かいじょうたつ	下の者の考えや気持ちが、上位の人によく通じること。	5	118		上意下達				
開心見誠	かいしんけんせい	まごころをもって人に接し、隠しだてをしないこと	5	119	開誠布公					
回生起死	かいせいきし	-	5	119	-	-	-	起死回生		-
回天事業	かいてんのじぎょう	世の中の形勢を一変させるほどの大きな事業。	5	120	図南之翼、図南鵬翼					
開物成務	かいぶつせいむ	物を開発し、事業を成就させること。また、人知を開いて成功に導くこと。	5	121						
下学上達	かがくじょうたつ	手近で初歩的なことから学んで、次第に高度で深い道に通じること。	5	122						
夏下冬上	かかとうじょう	炭火のおこし方。火種を夏は下に、冬は上にしかけるとよくおこるということ。	5	122						
家給人足	かきゅうじんそく	豊かで生活が安定していること。	5	123						
科挙圧巻	かきょあっかん	他よりずばぬけてすぐれたもの。	5	123						
学知利行	がくちりこう	人がふみ行うべき道を、後天的に学んで理解し、そのよさを認め、意識的に仁道を実践すること。	5	124						
夏虫疑氷	かちゅうぎひょう	見聞のせまい者が、自分の知識以外のものをじようとしないこと。	5	128	井蛙之見、尺沢之鯢、掐井之鼃					
花鳥風月	かちょうふうげつ	自然の風景・風物。自然の美しさのたとえ。	5	128	春花秋月、雪月風花					-
活殺自在	かっさつじざい	他を自分の思うとおりに扱うこと。	5	129	生殺与奪					
観感興起	かんかんこうき	目で見、心に感じ、感動して奮起すること。	5	134						
官官接待	かんかんせったい	地方自治体の職員が中央官僚を公金（税金）を使ってもてなすこと。	5	134						
眼光紙背	がんこうしはい	読解力が高いこと。	5	135						
眼高手低	がんこうしゅてい	理想は高いが実力が伴わないこと。また、批評はうまいが創作力がないこと。	5	135	志大才疎					
顔常山舌	がんじょうざんのした	苛酷な刑を受けてもなお、主君や国家に忠節を尽くすこと。	5	136						
完全無欠	かんぜんむけつ	どこから見ても、欠点や不足がまったくないこと。	5	138	金甌無欠、完美無欠、十全十美					-
感奮興起	かんぷんこうき	物事に深く心を揺り動かされて奮い立つこと。	5	141	感奮激厲、一念発起					
危急存亡	ききゅうそんぼう	危険が迫っていて、生きるか死ぬかの瀬戸際のこと。	5	143	生死存亡					
危言危行	きげんきこう	言葉を正しくし、品性のある行いをすること。また、厳しい言行のこと。	5	144						
起死回生	きしかいせい	絶望的な状況を立て直し、もとに戻すこと。	5	145	起死再生					-
疑事無功	ぎじむこう	疑いながら事を行うようでは、成功は期待できないということ。	5	145	疑行無名					
起承転結	きしょうてんけつ	文章の構成法や物事の順序のこと。	5	145	起承転合					-
喜色満面	きしょくまんめん	顔いっぱいに喜びの表情があふれているようす。	5	146	得意満面、春風満面					
帰馬方牛	きばほうぎゅう	戦いが終わり平和になるたとえ。	5	148	華山帰馬、放馬南山					
逆取順守	ぎゃくじゅんしゅ	道理にはずれた方法で取り、道理に従って守ること。	5	149						
牛飲馬食	ぎゅういんばしょく	むやみにたくさん飲み食いをすること。	5	149	鯨飲馬食、暴飲暴食、痛飲大食					
旧雨今雨	きゅううこんう	古い友人と新しい友人のこと。	5	149						
九牛一毛	きゅうぎゅうのいちもう	多くの中のきわめてわずかな部分。また、取るに足りない些細なこと。	5	150	大海一滴、滄海ー粟、滄海ー滴、牛之ー毛					
九死一生	きゅうしいっしょう	ほとんど助かる見込みのない命がかろうじて助かること。	5	151	十死一生、万死九生					-
救世済民	きゅうせいさいみん	世の中をよくし、人々を苦しみから救うこと。	5	151	経世済民					
九腸寸断	きゅうちょうすんだん	非常につらくて悲しいこと。	5	151	断腸之思、母猿断腸					
急転直下	きゅうてんちょっか	事態・情勢が急に変化して、物事が解決し決着がつくこと。「	5	152	一落千丈					
急流勇退	きゅうりゅうゆうたい	いさぎよく官職をやめること。	5	153						
強悪強善	きょうあくきょうぜん	悪人が悔いあらためると逆に考えられないほどの善人になるたとえ。	5	153						
鏡花水月	きょうかすいげつ	むなしくはかないまぼろしのこと。また、詩歌などの深遠な味わい。	5	154	水月鏡像					-
強食弱肉	きょうしょくじゃくにく	-	5	156	-	-	-	弱肉強食		-
共存共栄	きょうぞんきょうえい	互いに助けあって生存し、ともに栄えること。	5	156			きょうそんきょうえい			-
胸中成竹	きょうちゅうのせいちく	事前に成功の見込みをつけ、準備を整えておくこと。	5	156						
挙止進退	きょししんたい	-	5	160	-	-	-	挙措進退		
挙足軽重	きょそくけいちょう	その言動によって、全体に影響を及ぼすような重要な人物のこと。	5	160						
機略縦横	きりゃくじゅうおう	臨機応変の策略を自在にめぐらし用いること。	5	162	機知縦横、知略縦横					
議論百出	ぎろんひゃくしゅつ	さまざまな意見が戦わされること。	5	162	議論沸騰、議論風生、議論紛紛、侃侃諤諤、甲論乙駁、諸説紛紛					
金科玉条	きんかぎょくじょう	自分の主張や立場などの絶対的なよりどころとなる教訓や信条。	5	163	金科玉律					
金玉満堂	きんぎょくまんどう	 才能や学問が非常にすぐれていることのたとえ。	5	164						
金城湯池	きんじょうとうち	他から攻めこまれない堅固な備え。	5	165	金城鉄壁、難攻不落、湯池鉄城					
空前絶後	くうぜんぜつご	きわめて珍しいこと。	5	167	冠前絶後、曠前絶後、曠前空後					-
空理空論	くうりくうろん	実情からかけ離れていて、実際には役に立たない考え。	5	167	机上之論、空中楼閣、砂上楼閣、按図索驥、按図索駿、紙上談兵					-
苦学力行	くがくりっこう	苦労して学問をすること。	5	167			くがくりきこう、くがくりょっこう			
群疑満腹	ぐんぎまんぷく	多くの疑問で心がいっぱいになること。	5	169						
君子九思	くんしのきゅうし	君子が熟考しなければならない九つのこと。	5	170						
君子三楽	くんしのさんらく	君子の三つの楽しみ。	5	170						
君子不器	くんしふき	すぐれた人（君子）はどんなことにも機に応じ対処できるものだの意。	5	170						
経世済民	けいせいさいみん	世の中を治め、人民を救うこと。	5	174	経国済民、救世済民、修身斉家					
敬天愛人	けいてんあいじん	天をおそれ敬い、人を愛すること。	5	175	敬天愛民					
形名参同	けいめいさんどう	ロで言うことと実際の行動を一致させること。	5	176	形名審合、言行一致					
月下氷人	げっかひょうじん	仲人。媒酌人。男女の縁をとりもつ人。	5	178	月下老人、赤縄繫足					
